"Update Database","Update Database"
"Can't create new file. Check that folder %s has write permissions","Can't create new file. Check that folder %s has write permissions"
"DataBase source is temporary unavailable","DataBase source is temporary unavailable"
"We can't extract archive from MaxMind","We can't extract archive from MaxMind"
"GeoIP Country","GeoIP Country"
"GeoIP City","GeoIP City"
"Create backup","Create backup"
"Last update","Last update"
n/a,n/a
"GeoIP Extensions","GeoIP Extensions"
"GeoIP DataBase","GeoIP DataBase"
"Database Type","Database Type"
"MaxMind License Key","MaxMind License Key"
"Please specify the MaxMind License Key to be able to update GeoIP database.","Please specify the MaxMind License Key to be able to update GeoIP database."
"Update Current Database","Update Current Database"
"Remember that http://maxmind.com has limits on downloads of GeoIP database per day.","Remember that http://maxmind.com has limits on downloads of GeoIP database per day."
